Running SLURM prolog script on red232.cluster.local
===============================================================================
Job started on Wed Jun 19 15:54:31 BST 2024
Job ID          : 6140878
Job name        : NameThisGame_2
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_5.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red232
Job Output Follows ...
===============================================================================
NStep3DQN_game_NameThisGame NameThisGame avg score 2335.38 total_steps 105600 fps 146.02
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2286.90 total_steps 108000 fps 132.32
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2588.65 total_steps 105600 fps 136.09
NStep3DQN_game_NameThisGame NameThisGame avg score 2357.75 total_steps 106800 fps 185.01
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2281.86 total_steps 109200 fps 165.07
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
NStep3DQN_game_NameThisGame NameThisGame avg score 2357.75 total_steps 108000 fps 148.06
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2570.26 total_steps 106800 fps 118.63
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2281.86 total_steps 110400 fps 169.43
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2570.26 total_steps 108000 fps 173.58
NStep3DQN_game_NameThisGame NameThisGame avg score 2344.63 total_steps 109200 fps 140.68
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2281.86 total_steps 111600 fps 149.09
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2570.26 total_steps 109200 fps 138.99
NStep3DQN_game_NameThisGame NameThisGame avg score 2344.63 total_steps 110400 fps 133.93
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2316.36 total_steps 112800 fps 145.66
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2581.79 total_steps 110400 fps 157.86
NStep3DQN_game_NameThisGame NameThisGame avg score 2344.52 total_steps 111600 fps 149.26
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2316.36 total_steps 114000 fps 135.00
NStep3DQN_game_NameThisGame NameThisGame avg score 2344.52 total_steps 112800 fps 183.72
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2581.79 total_steps 111600 fps 124.81
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2316.36 total_steps 115200 fps 148.00
NStep3DQN_game_NameThisGame NameThisGame avg score 2345.12 total_steps 114000 fps 174.92
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2581.79 total_steps 112800 fps 129.68
Playing Game: NameThisGame
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 1770.00 total_steps 2400 fps 1437.03
NStep3DQN_game_NameThisGame NameThisGame avg score 2345.12 total_steps 115200 fps 177.64
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2332.44 total_steps 116400 fps 136.62
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 1770.00 total_steps 3600 fps 1517.94
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 1770.00 total_steps 4800 fps 1498.16
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2560.00 total_steps 6000 fps 1400.55
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2560.00 total_steps 7200 fps 1554.22
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2160.00 total_steps 8400 fps 1421.61
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2160.00 total_steps 9600 fps 1546.10
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2617.75 total_steps 114000 fps 153.93
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2292.50 total_steps 10800 fps 1450.41
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2292.50 total_steps 12000 fps 1512.21
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2292.50 total_steps 13200 fps 1516.83
NStep3DQN_game_NameThisGame NameThisGame avg score 2345.12 total_steps 116400 fps 163.60
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2402.00 total_steps 14400 fps 1410.56
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2402.00 total_steps 15600 fps 1504.03
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2332.44 total_steps 117600 fps 131.64
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2495.00 total_steps 16800 fps 1395.56
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2495.00 total_steps 18000 fps 1530.23
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2450.00 total_steps 19200 fps 1440.77
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2450.00 total_steps 20400 fps 1508.97
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2450.00 total_steps 21600 fps 1525.14
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2533.75 total_steps 22800 fps 1462.42
