Running SLURM prolog script on red290.cluster.local
===============================================================================
Job started on Fri Jun 28 23:28:07 BST 2024
Job ID          : 6175730
Job name        : NameThisGame_3
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_3.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red290
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: NameThisGame
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 1360.00 total_steps 2400 fps 1494.37
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 1360.00 total_steps 3600 fps 1574.21
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 1825.00 total_steps 4800 fps 1448.18
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 1825.00 total_steps 6000 fps 1533.49
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 1825.00 total_steps 7200 fps 1528.36
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2260.00 total_steps 8400 fps 1495.43
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2260.00 total_steps 9600 fps 1529.80
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2245.00 total_steps 10800 fps 1484.22
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2050.00 total_steps 12000 fps 1464.43
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2050.00 total_steps 13200 fps 1553.59
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2050.00 total_steps 14400 fps 1541.70
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2220.00 total_steps 15600 fps 1480.51
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2220.00 total_steps 16800 fps 1583.01
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2210.00 total_steps 18000 fps 1451.89
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2210.00 total_steps 19200 fps 1541.02
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2210.00 total_steps 20400 fps 1582.23
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2288.75 total_steps 21600 fps 1481.71
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2235.56 total_steps 22800 fps 1467.08
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2235.56 total_steps 24000 fps 1550.81
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2235.56 total_steps 25200 fps 1527.68
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2330.00 total_steps 26400 fps 1438.68
NStep3DQN_fc1_64_game_NameThisGame NameThisGame avg score 2330.00 total_steps 27600 fps 1583.08
