Running SLURM prolog script on red040.cluster.local
===============================================================================
Job started on Sat Jun 29 00:06:18 BST 2024
Job ID          : 6175762
Job name        : NameThisGame_5
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_5.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red040
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: NameThisGame
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2360.00 total_steps 3600 fps 1512.12
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1540.00 total_steps 4800 fps 1460.54
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1540.00 total_steps 6000 fps 1541.90
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1573.33 total_steps 7200 fps 1432.50
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1527.50 total_steps 8400 fps 1469.54
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1460.00 total_steps 9600 fps 1458.96
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1460.00 total_steps 10800 fps 1519.93
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1460.00 total_steps 12000 fps 1529.71
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1645.00 total_steps 13200 fps 1485.89
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1514.29 total_steps 14400 fps 1446.04
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1514.29 total_steps 15600 fps 1544.36
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1563.75 total_steps 16800 fps 1447.98
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1563.75 total_steps 18000 fps 1555.90
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1697.78 total_steps 19200 fps 1440.89
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1697.78 total_steps 20400 fps 1536.82
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1776.00 total_steps 21600 fps 1434.62
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1776.00 total_steps 22800 fps 1556.89
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 1776.00 total_steps 24000 fps 1553.86
