Running SLURM prolog script on red316.cluster.local
===============================================================================
Job started on Fri Jun 28 23:49:56 BST 2024
Job ID          : 6175750
Job name        : Phoenix_1
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_Phoenix_1.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red316
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: Phoenix
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 220.00 total_steps 1200 fps 1083.08
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 353.33 total_steps 2400 fps 1079.98
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 353.33 total_steps 3600 fps 1128.04
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 375.00 total_steps 4800 fps 1114.69
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 375.00 total_steps 6000 fps 1110.10
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 493.33 total_steps 7200 fps 1065.90
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 518.57 total_steps 8400 fps 1068.65
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 553.75 total_steps 9600 fps 1090.03
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 585.56 total_steps 10800 fps 1073.92
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 563.00 total_steps 12000 fps 1091.90
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 563.00 total_steps 13200 fps 1105.01
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 553.64 total_steps 14400 fps 1078.92
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 547.50 total_steps 15600 fps 1093.33
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 592.86 total_steps 16800 fps 1053.13
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 680.67 total_steps 18000 fps 1075.81
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 671.88 total_steps 19200 fps 1084.53
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 705.00 total_steps 20400 fps 1048.49
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 743.16 total_steps 21600 fps 1076.56
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 808.10 total_steps 22800 fps 1059.44
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 789.55 total_steps 24000 fps 1101.28
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 767.39 total_steps 25200 fps 1081.97
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 852.92 total_steps 26400 fps 1069.19
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 890.40 total_steps 27600 fps 1057.82
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 879.63 total_steps 28800 fps 1061.80
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 869.64 total_steps 30000 fps 1085.63
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 860.34 total_steps 31200 fps 1081.31
NoisyNStep3DQN_update_target_1000_game_Phoenix Phoenix avg score 885.00 total_steps 32400 fps 1073.94
