Running SLURM prolog script on red281.cluster.local
===============================================================================
Job started on Fri Jun 28 23:54:26 BST 2024
Job ID          : 6175760
Job name        : Qbert_5
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_Qbert_5.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red281
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: Qbert
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 141.67 total_steps 1200 fps 1543.09
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 103.57 total_steps 2400 fps 1536.76
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 79.55 total_steps 3600 fps 1536.49
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 113.33 total_steps 4800 fps 1517.93
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 116.67 total_steps 6000 fps 1548.89
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 115.48 total_steps 7200 fps 1540.23
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 147.00 total_steps 8400 fps 1521.92
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 158.04 total_steps 9600 fps 1547.60
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 153.91 total_steps 10800 fps 1521.00
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 147.14 total_steps 12000 fps 1560.83
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 148.08 total_steps 13200 fps 1520.25
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 148.21 total_steps 14400 fps 1551.24
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 143.48 total_steps 15600 fps 1535.62
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 142.86 total_steps 16800 fps 1549.69
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 142.00 total_steps 18000 fps 1518.50
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 152.00 total_steps 19200 fps 1529.71
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 160.50 total_steps 20400 fps 1536.35
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 153.00 total_steps 21600 fps 1549.38
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 147.00 total_steps 22800 fps 1540.67
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 152.00 total_steps 24000 fps 1545.99
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 138.00 total_steps 25200 fps 1521.20
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 139.50 total_steps 26400 fps 1522.86
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 145.00 total_steps 27600 fps 1525.99
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 161.50 total_steps 28800 fps 1533.74
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 158.50 total_steps 30000 fps 1533.95
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 157.50 total_steps 31200 fps 1545.75
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 170.00 total_steps 32400 fps 1535.63
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 176.00 total_steps 33600 fps 1538.54
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 181.50 total_steps 34800 fps 1547.89
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 171.50 total_steps 36000 fps 1541.41
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 179.00 total_steps 37200 fps 1521.73
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 186.00 total_steps 38400 fps 1543.59
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 194.00 total_steps 39600 fps 1540.90
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 184.50 total_steps 40800 fps 1543.37
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 182.00 total_steps 42000 fps 1535.59
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 175.00 total_steps 43200 fps 1555.28
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 167.00 total_steps 44400 fps 1524.16
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 174.00 total_steps 45600 fps 1544.69
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 161.00 total_steps 46800 fps 1537.48
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 167.00 total_steps 48000 fps 1544.03
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 169.00 total_steps 49200 fps 1546.29
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 152.50 total_steps 50400 fps 1531.21
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 163.50 total_steps 51600 fps 1528.31
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 165.00 total_steps 52800 fps 1559.73
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 163.00 total_steps 54000 fps 1527.89
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 169.50 total_steps 55200 fps 1538.98
NStep3DQN_lr_1e5_update_target_1000_game_Qbert Qbert avg score 168.00 total_steps 56400 fps 1552.15
