Running SLURM prolog script on red067.cluster.local
===============================================================================
Job started on Fri Jun 28 23:49:17 BST 2024
Job ID          : 6175749
Job name        : BattleZone_1
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_battlezone_1.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red067
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: BattleZone
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 500.00 total_steps 2400 fps 802.62
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 333.33 total_steps 3600 fps 806.84
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1000.00 total_steps 4800 fps 808.42
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1600.00 total_steps 6000 fps 810.08
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1857.14 total_steps 7200 fps 804.86
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1857.14 total_steps 8400 fps 803.80
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1875.00 total_steps 9600 fps 797.76
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1777.78 total_steps 10800 fps 808.74
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1800.00 total_steps 12000 fps 804.50
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1750.00 total_steps 13200 fps 802.48
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1692.31 total_steps 14400 fps 804.25
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1714.29 total_steps 15600 fps 806.05
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1666.67 total_steps 16800 fps 804.61
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1666.67 total_steps 18000 fps 816.04
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1687.50 total_steps 19200 fps 806.81
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1647.06 total_steps 20400 fps 805.37
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1666.67 total_steps 21600 fps 807.95
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1684.21 total_steps 22800 fps 810.44
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1700.00 total_steps 24000 fps 808.74
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1714.29 total_steps 25200 fps 804.25
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1714.29 total_steps 26400 fps 811.22
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1772.73 total_steps 27600 fps 804.84
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1739.13 total_steps 28800 fps 808.74
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1666.67 total_steps 30000 fps 809.46
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1600.00 total_steps 31200 fps 807.17
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1692.31 total_steps 32400 fps 808.72
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1678.57 total_steps 33600 fps 798.30
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1678.57 total_steps 34800 fps 806.67
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1862.07 total_steps 36000 fps 803.28
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1862.07 total_steps 37200 fps 808.87
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1900.00 total_steps 38400 fps 803.82
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1870.97 total_steps 39600 fps 805.73
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1939.39 total_steps 40800 fps 799.37
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1970.59 total_steps 42000 fps 809.84
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2000.00 total_steps 43200 fps 810.00
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1944.44 total_steps 44400 fps 812.55
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1972.97 total_steps 45600 fps 806.31
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1921.05 total_steps 46800 fps 796.39
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1897.44 total_steps 48000 fps 804.48
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1875.00 total_steps 49200 fps 805.38
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1829.27 total_steps 50400 fps 809.37
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1952.38 total_steps 51600 fps 802.69
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 1906.98 total_steps 52800 fps 806.69
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2044.44 total_steps 54000 fps 801.91
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2043.48 total_steps 55200 fps 808.47
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2042.55 total_steps 56400 fps 810.92
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2041.67 total_steps 57600 fps 807.03
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2041.67 total_steps 58800 fps 805.29
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2265.31 total_steps 60000 fps 801.45
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2260.00 total_steps 61200 fps 812.50
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2280.00 total_steps 62400 fps 804.12
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2340.00 total_steps 63600 fps 808.08
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2360.00 total_steps 64800 fps 801.26
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2360.00 total_steps 66000 fps 809.32
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2300.00 total_steps 67200 fps 806.03
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2220.00 total_steps 68400 fps 803.84
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2200.00 total_steps 69600 fps 804.93
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2180.00 total_steps 70800 fps 806.67
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2160.00 total_steps 72000 fps 807.78
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2160.00 total_steps 73200 fps 809.17
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2160.00 total_steps 74400 fps 805.55
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2140.00 total_steps 75600 fps 800.02
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2140.00 total_steps 76800 fps 805.15
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2160.00 total_steps 78000 fps 800.26
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2140.00 total_steps 79200 fps 805.09
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2260.00 total_steps 80400 fps 382.74
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2260.00 total_steps 81600 fps 189.83
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2260.00 total_steps 82800 fps 157.70
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2220.00 total_steps 84000 fps 180.97
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2220.00 total_steps 85200 fps 152.36
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2140.00 total_steps 86400 fps 159.62
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2160.00 total_steps 87600 fps 137.46
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2320.00 total_steps 88800 fps 141.49
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2320.00 total_steps 90000 fps 154.98
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2340.00 total_steps 91200 fps 132.44
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2280.00 total_steps 92400 fps 154.14
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2280.00 total_steps 93600 fps 157.38
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2340.00 total_steps 94800 fps 135.34
NoisyNStep3DQN_update_target_1000_game_BattleZone BattleZone avg score 2180.00 total_steps 96000 fps 135.27
