Running SLURM prolog script on red293.cluster.local
===============================================================================
Job started on Sat Jun  8 17:06:18 BST 2024
Job ID          : 6111290
Job name        : NStep3DQN_game_NameThisGame
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red293
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: NameThisGame
NStep3DQN_game_NameThisGame NameThisGame avg score 1400.00 total_steps 2400 fps 299.42
NStep3DQN_game_NameThisGame NameThisGame avg score 1260.00 total_steps 3600 fps 171.80
NStep3DQN_game_NameThisGame NameThisGame avg score 1260.00 total_steps 4800 fps 157.93
NStep3DQN_game_NameThisGame NameThisGame avg score 1260.00 total_steps 6000 fps 170.27
NStep3DQN_game_NameThisGame NameThisGame avg score 1673.33 total_steps 7200 fps 156.10
NStep3DQN_game_NameThisGame NameThisGame avg score 1673.33 total_steps 8400 fps 141.02
NStep3DQN_game_NameThisGame NameThisGame avg score 1802.50 total_steps 9600 fps 151.21
NStep3DQN_game_NameThisGame NameThisGame avg score 1802.50 total_steps 10800 fps 139.55
NStep3DQN_game_NameThisGame NameThisGame avg score 1978.00 total_steps 12000 fps 118.17
NStep3DQN_game_NameThisGame NameThisGame avg score 1978.00 total_steps 13200 fps 116.28
NStep3DQN_game_NameThisGame NameThisGame avg score 2048.33 total_steps 14400 fps 123.34
NStep3DQN_game_NameThisGame NameThisGame avg score 2048.33 total_steps 15600 fps 123.87
NStep3DQN_game_NameThisGame NameThisGame avg score 2048.33 total_steps 16800 fps 107.34
NStep3DQN_game_NameThisGame NameThisGame avg score 2027.14 total_steps 18000 fps 110.78
NStep3DQN_game_NameThisGame NameThisGame avg score 2027.14 total_steps 19200 fps 105.92
NStep3DQN_game_NameThisGame NameThisGame avg score 2027.14 total_steps 20400 fps 105.97
NStep3DQN_game_NameThisGame NameThisGame avg score 2283.75 total_steps 21600 fps 109.73
NStep3DQN_game_NameThisGame NameThisGame avg score 2283.75 total_steps 22800 fps 112.01
NStep3DQN_game_NameThisGame NameThisGame avg score 2272.22 total_steps 24000 fps 100.71
NStep3DQN_game_NameThisGame NameThisGame avg score 2272.22 total_steps 25200 fps 90.97
NStep3DQN_game_NameThisGame NameThisGame avg score 2356.00 total_steps 26400 fps 91.43
NStep3DQN_game_NameThisGame NameThisGame avg score 2356.00 total_steps 27600 fps 94.52
NStep3DQN_game_NameThisGame NameThisGame avg score 2273.64 total_steps 28800 fps 84.52
NStep3DQN_game_NameThisGame NameThisGame avg score 2182.50 total_steps 30000 fps 88.22
NStep3DQN_game_NameThisGame NameThisGame avg score 2182.50 total_steps 31200 fps 101.36
NStep3DQN_game_NameThisGame NameThisGame avg score 2210.77 total_steps 32400 fps 73.21
NStep3DQN_game_NameThisGame NameThisGame avg score 2136.43 total_steps 33600 fps 101.95
NStep3DQN_game_NameThisGame NameThisGame avg score 2136.43 total_steps 34800 fps 111.80
NStep3DQN_game_NameThisGame NameThisGame avg score 2136.43 total_steps 36000 fps 77.96
NStep3DQN_game_NameThisGame NameThisGame avg score 2203.33 total_steps 37200 fps 93.34
NStep3DQN_game_NameThisGame NameThisGame avg score 2203.33 total_steps 38400 fps 104.93
NStep3DQN_game_NameThisGame NameThisGame avg score 2194.38 total_steps 39600 fps 88.58
NStep3DQN_game_NameThisGame NameThisGame avg score 2114.71 total_steps 40800 fps 81.43
NStep3DQN_game_NameThisGame NameThisGame avg score 2114.71 total_steps 42000 fps 79.29
NStep3DQN_game_NameThisGame NameThisGame avg score 2087.22 total_steps 43200 fps 80.55
NStep3DQN_game_NameThisGame NameThisGame avg score 2087.22 total_steps 44400 fps 74.25
NStep3DQN_game_NameThisGame NameThisGame avg score 2087.22 total_steps 45600 fps 83.54
NStep3DQN_game_NameThisGame NameThisGame avg score 2188.42 total_steps 46800 fps 80.41
NStep3DQN_game_NameThisGame NameThisGame avg score 2188.42 total_steps 48000 fps 99.52
NStep3DQN_game_NameThisGame NameThisGame avg score 2197.50 total_steps 49200 fps 79.52
NStep3DQN_game_NameThisGame NameThisGame avg score 2197.50 total_steps 50400 fps 65.40
