Running SLURM prolog script on red172.cluster.local
===============================================================================
Job started on Sat Jun  8 17:25:44 BST 2024
Job ID          : 6111292
Job name        : NStep3DQN_game_Qbert
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_Qbert.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red172
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: Qbert
NStep3DQN_game_Qbert Qbert avg score 108.33 total_steps 1200 fps 668.58
NStep3DQN_game_Qbert Qbert avg score 200.00 total_steps 2400 fps 199.76
NStep3DQN_game_Qbert Qbert avg score 175.00 total_steps 3600 fps 171.72
NStep3DQN_game_Qbert Qbert avg score 228.85 total_steps 4800 fps 173.44
NStep3DQN_game_Qbert Qbert avg score 212.50 total_steps 6000 fps 172.12
NStep3DQN_game_Qbert Qbert avg score 205.00 total_steps 7200 fps 160.22
NStep3DQN_game_Qbert Qbert avg score 212.50 total_steps 8400 fps 160.15
NStep3DQN_game_Qbert Qbert avg score 201.85 total_steps 9600 fps 145.35
NStep3DQN_game_Qbert Qbert avg score 210.83 total_steps 10800 fps 146.55
NStep3DQN_game_Qbert Qbert avg score 219.85 total_steps 12000 fps 141.28
NStep3DQN_game_Qbert Qbert avg score 207.43 total_steps 13200 fps 162.28
NStep3DQN_game_Qbert Qbert avg score 201.22 total_steps 14400 fps 135.18
NStep3DQN_game_Qbert Qbert avg score 203.98 total_steps 15600 fps 140.26
NStep3DQN_game_Qbert Qbert avg score 198.94 total_steps 16800 fps 119.55
NStep3DQN_game_Qbert Qbert avg score 209.00 total_steps 18000 fps 113.67
NStep3DQN_game_Qbert Qbert avg score 208.00 total_steps 19200 fps 128.42
NStep3DQN_game_Qbert Qbert avg score 208.00 total_steps 20400 fps 135.20
NStep3DQN_game_Qbert Qbert avg score 210.50 total_steps 21600 fps 97.02
NStep3DQN_game_Qbert Qbert avg score 191.00 total_steps 22800 fps 113.43
NStep3DQN_game_Qbert Qbert avg score 192.50 total_steps 24000 fps 119.83
NStep3DQN_game_Qbert Qbert avg score 202.50 total_steps 25200 fps 108.59
NStep3DQN_game_Qbert Qbert avg score 208.00 total_steps 26400 fps 112.48
NStep3DQN_game_Qbert Qbert avg score 212.00 total_steps 27600 fps 111.87
NStep3DQN_game_Qbert Qbert avg score 198.50 total_steps 28800 fps 108.70
NStep3DQN_game_Qbert Qbert avg score 196.50 total_steps 30000 fps 94.60
NStep3DQN_game_Qbert Qbert avg score 202.00 total_steps 31200 fps 110.24
NStep3DQN_game_Qbert Qbert avg score 198.50 total_steps 32400 fps 123.02
NStep3DQN_game_Qbert Qbert avg score 207.00 total_steps 33600 fps 122.66
NStep3DQN_game_Qbert Qbert avg score 216.50 total_steps 34800 fps 109.89
NStep3DQN_game_Qbert Qbert avg score 215.00 total_steps 36000 fps 114.93
NStep3DQN_game_Qbert Qbert avg score 223.50 total_steps 37200 fps 90.36
NStep3DQN_game_Qbert Qbert avg score 227.50 total_steps 38400 fps 96.16
NStep3DQN_game_Qbert Qbert avg score 234.00 total_steps 39600 fps 114.81
NStep3DQN_game_Qbert Qbert avg score 235.00 total_steps 40800 fps 98.18
NStep3DQN_game_Qbert Qbert avg score 237.50 total_steps 42000 fps 104.42
NStep3DQN_game_Qbert Qbert avg score 234.00 total_steps 43200 fps 100.37
NStep3DQN_game_Qbert Qbert avg score 235.50 total_steps 44400 fps 76.73
NStep3DQN_game_Qbert Qbert avg score 236.50 total_steps 45600 fps 79.84
NStep3DQN_game_Qbert Qbert avg score 237.00 total_steps 46800 fps 95.69
NStep3DQN_game_Qbert Qbert avg score 257.50 total_steps 48000 fps 84.57
NStep3DQN_game_Qbert Qbert avg score 261.50 total_steps 49200 fps 114.48
NStep3DQN_game_Qbert Qbert avg score 270.50 total_steps 50400 fps 82.30
NStep3DQN_game_Qbert Qbert avg score 282.50 total_steps 51600 fps 86.84
NStep3DQN_game_Qbert Qbert avg score 285.00 total_steps 52800 fps 87.44
NStep3DQN_game_Qbert Qbert avg score 299.00 total_steps 54000 fps 93.71
NStep3DQN_game_Qbert Qbert avg score 299.00 total_steps 55200 fps 78.30
NStep3DQN_game_Qbert Qbert avg score 305.50 total_steps 56400 fps 96.19
NStep3DQN_game_Qbert Qbert avg score 316.00 total_steps 57600 fps 89.44
NStep3DQN_game_Qbert Qbert avg score 331.00 total_steps 58800 fps 82.65
NStep3DQN_game_Qbert Qbert avg score 351.00 total_steps 60000 fps 69.41
NStep3DQN_game_Qbert Qbert avg score 362.50 total_steps 61200 fps 89.64
NStep3DQN_game_Qbert Qbert avg score 375.50 total_steps 62400 fps 86.86
NStep3DQN_game_Qbert Qbert avg score 378.50 total_steps 63600 fps 76.96
NStep3DQN_game_Qbert Qbert avg score 395.50 total_steps 64800 fps 80.01
NStep3DQN_game_Qbert Qbert avg score 409.50 total_steps 66000 fps 89.83
NStep3DQN_game_Qbert Qbert avg score 415.00 total_steps 67200 fps 107.59
NStep3DQN_game_Qbert Qbert avg score 420.00 total_steps 68400 fps 105.97
NStep3DQN_game_Qbert Qbert avg score 411.00 total_steps 69600 fps 101.23
NStep3DQN_game_Qbert Qbert avg score 431.00 total_steps 70800 fps 98.33
NStep3DQN_game_Qbert Qbert avg score 448.00 total_steps 72000 fps 84.37
NStep3DQN_game_Qbert Qbert avg score 448.00 total_steps 73200 fps 96.29
NStep3DQN_game_Qbert Qbert avg score 456.50 total_steps 74400 fps 93.19
NStep3DQN_game_Qbert Qbert avg score 467.50 total_steps 75600 fps 92.63
NStep3DQN_game_Qbert Qbert avg score 455.00 total_steps 76800 fps 87.61
NStep3DQN_game_Qbert Qbert avg score 462.00 total_steps 78000 fps 78.36
NStep3DQN_game_Qbert Qbert avg score 467.50 total_steps 79200 fps 74.96
NStep3DQN_game_Qbert Qbert avg score 461.00 total_steps 80400 fps 73.58
NStep3DQN_game_Qbert Qbert avg score 465.50 total_steps 81600 fps 67.21
NStep3DQN_game_Qbert Qbert avg score 460.50 total_steps 82800 fps 87.14
NStep3DQN_game_Qbert Qbert avg score 466.00 total_steps 84000 fps 72.92
NStep3DQN_game_Qbert Qbert avg score 478.50 total_steps 85200 fps 74.91
NStep3DQN_game_Qbert Qbert avg score 487.00 total_steps 86400 fps 71.76
NStep3DQN_game_Qbert Qbert avg score 490.00 total_steps 87600 fps 65.33
NStep3DQN_game_Qbert Qbert avg score 495.50 total_steps 88800 fps 71.93
NStep3DQN_game_Qbert Qbert avg score 496.50 total_steps 90000 fps 69.58
NStep3DQN_game_Qbert Qbert avg score 497.50 total_steps 91200 fps 60.59
NStep3DQN_game_Qbert Qbert avg score 503.00 total_steps 92400 fps 67.20
NStep3DQN_game_Qbert Qbert avg score 513.00 total_steps 93600 fps 62.55
NStep3DQN_game_Qbert Qbert avg score 526.50 total_steps 94800 fps 61.06
NStep3DQN_game_Qbert Qbert avg score 525.00 total_steps 96000 fps 75.60
NStep3DQN_game_Qbert Qbert avg score 520.50 total_steps 97200 fps 61.76
NStep3DQN_game_Qbert Qbert avg score 530.00 total_steps 98400 fps 73.53
NStep3DQN_game_Qbert Qbert avg score 534.50 total_steps 99600 fps 68.16
NStep3DQN_game_Qbert Qbert avg score 540.50 total_steps 100800 fps 72.61
NStep3DQN_game_Qbert Qbert avg score 541.00 total_steps 102000 fps 58.00
NStep3DQN_game_Qbert Qbert avg score 560.50 total_steps 103200 fps 57.15
NStep3DQN_game_Qbert Qbert avg score 559.50 total_steps 104400 fps 50.87
NStep3DQN_game_Qbert Qbert avg score 566.50 total_steps 105600 fps 71.65
NStep3DQN_game_Qbert Qbert avg score 574.50 total_steps 106800 fps 73.10
NStep3DQN_game_Qbert Qbert avg score 591.50 total_steps 108000 fps 62.56
NStep3DQN_game_Qbert Qbert avg score 592.50 total_steps 109200 fps 52.84
NStep3DQN_game_Qbert Qbert avg score 599.50 total_steps 110400 fps 62.43
NStep3DQN_game_Qbert Qbert avg score 591.00 total_steps 111600 fps 63.32
NStep3DQN_game_Qbert Qbert avg score 580.00 total_steps 112800 fps 57.68
NStep3DQN_game_Qbert Qbert avg score 588.00 total_steps 114000 fps 55.59
NStep3DQN_game_Qbert Qbert avg score 592.50 total_steps 115200 fps 65.58
NStep3DQN_game_Qbert Qbert avg score 593.00 total_steps 116400 fps 55.74
NStep3DQN_game_Qbert Qbert avg score 582.00 total_steps 117600 fps 71.86
NStep3DQN_game_Qbert Qbert avg score 585.50 total_steps 118800 fps 66.25
NStep3DQN_game_Qbert Qbert avg score 592.50 total_steps 120000 fps 56.75
NStep3DQN_game_Qbert Qbert avg score 594.50 total_steps 121200 fps 63.01
NStep3DQN_game_Qbert Qbert avg score 594.00 total_steps 122400 fps 64.19
NStep3DQN_game_Qbert Qbert avg score 598.00 total_steps 123600 fps 64.27
NStep3DQN_game_Qbert Qbert avg score 590.50 total_steps 124800 fps 66.79
NStep3DQN_game_Qbert Qbert avg score 585.50 total_steps 126000 fps 52.03
NStep3DQN_game_Qbert Qbert avg score 591.00 total_steps 127200 fps 65.49
NStep3DQN_game_Qbert Qbert avg score 583.50 total_steps 128400 fps 63.96
NStep3DQN_game_Qbert Qbert avg score 592.50 total_steps 129600 fps 70.38
NStep3DQN_game_Qbert Qbert avg score 581.50 total_steps 130800 fps 78.90
NStep3DQN_game_Qbert Qbert avg score 584.50 total_steps 132000 fps 61.63
NStep3DQN_game_Qbert Qbert avg score 586.50 total_steps 133200 fps 71.52
