Running SLURM prolog script on red271.cluster.local
===============================================================================
Job started on Sat Jun  8 17:11:01 BST 2024
Job ID          : 6111291
Job name        : NStep3DQN_game_Phoenix
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_Phoenix.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red271
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: Phoenix
NStep3DQN_game_Phoenix Phoenix avg score 970.00 total_steps 1200 fps 715.36
NStep3DQN_game_Phoenix Phoenix avg score 715.00 total_steps 2400 fps 201.77
NStep3DQN_game_Phoenix Phoenix avg score 715.00 total_steps 3600 fps 175.21
NStep3DQN_game_Phoenix Phoenix avg score 1293.33 total_steps 4800 fps 181.27
NStep3DQN_game_Phoenix Phoenix avg score 1362.50 total_steps 6000 fps 193.94
NStep3DQN_game_Phoenix Phoenix avg score 1150.00 total_steps 7200 fps 184.02
NStep3DQN_game_Phoenix Phoenix avg score 1150.00 total_steps 8400 fps 162.76
NStep3DQN_game_Phoenix Phoenix avg score 1295.00 total_steps 9600 fps 148.99
NStep3DQN_game_Phoenix Phoenix avg score 1133.75 total_steps 10800 fps 154.71
NStep3DQN_game_Phoenix Phoenix avg score 1058.89 total_steps 12000 fps 147.69
NStep3DQN_game_Phoenix Phoenix avg score 955.45 total_steps 13200 fps 145.61
NStep3DQN_game_Phoenix Phoenix avg score 955.45 total_steps 14400 fps 140.45
NStep3DQN_game_Phoenix Phoenix avg score 877.69 total_steps 15600 fps 133.27
NStep3DQN_game_Phoenix Phoenix avg score 853.57 total_steps 16800 fps 120.87
NStep3DQN_game_Phoenix Phoenix avg score 838.82 total_steps 18000 fps 137.76
NStep3DQN_game_Phoenix Phoenix avg score 816.67 total_steps 19200 fps 131.85
NStep3DQN_game_Phoenix Phoenix avg score 829.50 total_steps 20400 fps 133.72
NStep3DQN_game_Phoenix Phoenix avg score 793.18 total_steps 21600 fps 116.06
NStep3DQN_game_Phoenix Phoenix avg score 779.57 total_steps 22800 fps 109.13
NStep3DQN_game_Phoenix Phoenix avg score 763.75 total_steps 24000 fps 103.43
NStep3DQN_game_Phoenix Phoenix avg score 797.31 total_steps 25200 fps 111.24
