Running SLURM prolog script on red350.cluster.local
===============================================================================
Job started on Fri Jun 28 23:48:33 BST 2024
Job ID          : 6175748
Job name        : NameThisGame_1
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_1.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red350
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: NameThisGame
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2370.00 total_steps 3600 fps 863.35
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2370.00 total_steps 4800 fps 819.08
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2510.00 total_steps 6000 fps 774.79
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2510.00 total_steps 7200 fps 816.30
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2456.67 total_steps 8400 fps 764.41
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2456.67 total_steps 9600 fps 807.92
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2420.00 total_steps 10800 fps 782.94
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2420.00 total_steps 12000 fps 811.29
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2420.00 total_steps 13200 fps 802.92
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2690.00 total_steps 14400 fps 781.20
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2690.00 total_steps 15600 fps 806.03
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2670.00 total_steps 16800 fps 783.28
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2670.00 total_steps 18000 fps 801.00
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2614.29 total_steps 19200 fps 773.14
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2614.29 total_steps 20400 fps 813.57
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2614.29 total_steps 21600 fps 801.91
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2605.00 total_steps 22800 fps 770.28
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2605.00 total_steps 24000 fps 812.01
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2708.89 total_steps 25200 fps 784.67
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2708.89 total_steps 26400 fps 805.36
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2708.89 total_steps 27600 fps 804.78
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2738.00 total_steps 28800 fps 779.01
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2738.00 total_steps 30000 fps 813.60
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2719.09 total_steps 31200 fps 775.46
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2719.09 total_steps 32400 fps 811.97
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2615.83 total_steps 33600 fps 779.90
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2615.83 total_steps 34800 fps 800.94
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2612.31 total_steps 36000 fps 765.25
NoisyNStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2612.31 total_steps 37200 fps 811.00
