Running SLURM prolog script on red166.cluster.local
===============================================================================
Job started on Fri Jun 28 23:27:59 BST 2024
Job ID          : 6175728
Job name        : Qbert_3
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_Qbert_3.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red166
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: Qbert
NStep3DQN_fc1_64_game_Qbert Qbert avg score 108.33 total_steps 1200 fps 1543.60
NStep3DQN_fc1_64_game_Qbert Qbert avg score 183.33 total_steps 2400 fps 1535.35
NStep3DQN_fc1_64_game_Qbert Qbert avg score 188.89 total_steps 3600 fps 1536.61
NStep3DQN_fc1_64_game_Qbert Qbert avg score 186.54 total_steps 4800 fps 1520.18
NStep3DQN_fc1_64_game_Qbert Qbert avg score 206.25 total_steps 6000 fps 1533.96
NStep3DQN_fc1_64_game_Qbert Qbert avg score 185.00 total_steps 7200 fps 1524.76
NStep3DQN_fc1_64_game_Qbert Qbert avg score 203.26 total_steps 8400 fps 1532.72
NStep3DQN_fc1_64_game_Qbert Qbert avg score 217.31 total_steps 9600 fps 1542.09
NStep3DQN_fc1_64_game_Qbert Qbert avg score 216.38 total_steps 10800 fps 1533.16
NStep3DQN_fc1_64_game_Qbert Qbert avg score 216.67 total_steps 12000 fps 1523.36
NStep3DQN_fc1_64_game_Qbert Qbert avg score 202.78 total_steps 13200 fps 1537.12
NStep3DQN_fc1_64_game_Qbert Qbert avg score 209.38 total_steps 14400 fps 1525.13
NStep3DQN_fc1_64_game_Qbert Qbert avg score 197.16 total_steps 15600 fps 1526.80
NStep3DQN_fc1_64_game_Qbert Qbert avg score 194.15 total_steps 16800 fps 1542.50
NStep3DQN_fc1_64_game_Qbert Qbert avg score 194.00 total_steps 18000 fps 1523.07
NStep3DQN_fc1_64_game_Qbert Qbert avg score 188.50 total_steps 19200 fps 1524.12
NStep3DQN_fc1_64_game_Qbert Qbert avg score 190.50 total_steps 20400 fps 1546.23
NStep3DQN_fc1_64_game_Qbert Qbert avg score 190.00 total_steps 21600 fps 1522.64
NStep3DQN_fc1_64_game_Qbert Qbert avg score 182.50 total_steps 22800 fps 1536.84
NStep3DQN_fc1_64_game_Qbert Qbert avg score 181.00 total_steps 24000 fps 1531.26
NStep3DQN_fc1_64_game_Qbert Qbert avg score 171.00 total_steps 25200 fps 1525.29
NStep3DQN_fc1_64_game_Qbert Qbert avg score 161.00 total_steps 26400 fps 1537.43
NStep3DQN_fc1_64_game_Qbert Qbert avg score 159.00 total_steps 27600 fps 1550.31
NStep3DQN_fc1_64_game_Qbert Qbert avg score 162.00 total_steps 28800 fps 1520.39
NStep3DQN_fc1_64_game_Qbert Qbert avg score 157.00 total_steps 30000 fps 1533.84
NStep3DQN_fc1_64_game_Qbert Qbert avg score 156.00 total_steps 31200 fps 1536.66
NStep3DQN_fc1_64_game_Qbert Qbert avg score 164.00 total_steps 32400 fps 1517.76
NStep3DQN_fc1_64_game_Qbert Qbert avg score 158.00 total_steps 33600 fps 1552.94
NStep3DQN_fc1_64_game_Qbert Qbert avg score 154.50 total_steps 34800 fps 1514.64
NStep3DQN_fc1_64_game_Qbert Qbert avg score 150.00 total_steps 36000 fps 1528.95
NStep3DQN_fc1_64_game_Qbert Qbert avg score 158.00 total_steps 37200 fps 1520.10
NStep3DQN_fc1_64_game_Qbert Qbert avg score 149.50 total_steps 38400 fps 1539.77
NStep3DQN_fc1_64_game_Qbert Qbert avg score 153.50 total_steps 39600 fps 1518.31
NStep3DQN_fc1_64_game_Qbert Qbert avg score 160.00 total_steps 40800 fps 1521.15
NStep3DQN_fc1_64_game_Qbert Qbert avg score 164.50 total_steps 42000 fps 1536.43
NStep3DQN_fc1_64_game_Qbert Qbert avg score 160.50 total_steps 43200 fps 1526.10
NStep3DQN_fc1_64_game_Qbert Qbert avg score 158.00 total_steps 44400 fps 1525.94
NStep3DQN_fc1_64_game_Qbert Qbert avg score 151.50 total_steps 45600 fps 1534.70
NStep3DQN_fc1_64_game_Qbert Qbert avg score 168.00 total_steps 46800 fps 1540.32
NStep3DQN_fc1_64_game_Qbert Qbert avg score 172.50 total_steps 48000 fps 1547.54
NStep3DQN_fc1_64_game_Qbert Qbert avg score 170.50 total_steps 49200 fps 1522.01
NStep3DQN_fc1_64_game_Qbert Qbert avg score 190.00 total_steps 50400 fps 1534.76
NStep3DQN_fc1_64_game_Qbert Qbert avg score 196.00 total_steps 51600 fps 1537.59
NStep3DQN_fc1_64_game_Qbert Qbert avg score 195.50 total_steps 52800 fps 1533.12
NStep3DQN_fc1_64_game_Qbert Qbert avg score 190.00 total_steps 54000 fps 1529.88
NStep3DQN_fc1_64_game_Qbert Qbert avg score 183.00 total_steps 55200 fps 1531.53
NStep3DQN_fc1_64_game_Qbert Qbert avg score 180.50 total_steps 56400 fps 1543.18
NStep3DQN_fc1_64_game_Qbert Qbert avg score 174.00 total_steps 57600 fps 1525.20
NStep3DQN_fc1_64_game_Qbert Qbert avg score 178.00 total_steps 58800 fps 1535.77
NStep3DQN_fc1_64_game_Qbert Qbert avg score 174.50 total_steps 60000 fps 1533.33
NStep3DQN_fc1_64_game_Qbert Qbert avg score 167.00 total_steps 61200 fps 1554.73
NStep3DQN_fc1_64_game_Qbert Qbert avg score 175.50 total_steps 62400 fps 1515.47
NStep3DQN_fc1_64_game_Qbert Qbert avg score 157.00 total_steps 63600 fps 1534.16
NStep3DQN_fc1_64_game_Qbert Qbert avg score 138.00 total_steps 64800 fps 1537.22
NStep3DQN_fc1_64_game_Qbert Qbert avg score 134.00 total_steps 66000 fps 1529.60
NStep3DQN_fc1_64_game_Qbert Qbert avg score 113.00 total_steps 67200 fps 1531.74
NStep3DQN_fc1_64_game_Qbert Qbert avg score 111.50 total_steps 68400 fps 1540.32
NStep3DQN_fc1_64_game_Qbert Qbert avg score 114.00 total_steps 69600 fps 1558.38
NStep3DQN_fc1_64_game_Qbert Qbert avg score 111.50 total_steps 70800 fps 1530.78
NStep3DQN_fc1_64_game_Qbert Qbert avg score 104.50 total_steps 72000 fps 1531.99
NStep3DQN_fc1_64_game_Qbert Qbert avg score 114.50 total_steps 73200 fps 1517.94
NStep3DQN_fc1_64_game_Qbert Qbert avg score 112.00 total_steps 74400 fps 1526.60
NStep3DQN_fc1_64_game_Qbert Qbert avg score 117.50 total_steps 75600 fps 1544.77
NStep3DQN_fc1_64_game_Qbert Qbert avg score 115.00 total_steps 76800 fps 1521.97
NStep3DQN_fc1_64_game_Qbert Qbert avg score 128.00 total_steps 78000 fps 1533.83
NStep3DQN_fc1_64_game_Qbert Qbert avg score 138.00 total_steps 79200 fps 1526.40
NStep3DQN_fc1_64_game_Qbert Qbert avg score 141.50 total_steps 80400 fps 689.93
NStep3DQN_fc1_64_game_Qbert Qbert avg score 151.00 total_steps 81600 fps 331.05
NStep3DQN_fc1_64_game_Qbert Qbert avg score 154.50 total_steps 82800 fps 330.63
NStep3DQN_fc1_64_game_Qbert Qbert avg score 160.00 total_steps 84000 fps 330.60
NStep3DQN_fc1_64_game_Qbert Qbert avg score 168.50 total_steps 85200 fps 321.52
NStep3DQN_fc1_64_game_Qbert Qbert avg score 189.50 total_steps 86400 fps 331.28
NStep3DQN_fc1_64_game_Qbert Qbert avg score 195.00 total_steps 87600 fps 330.35
NStep3DQN_fc1_64_game_Qbert Qbert avg score 215.50 total_steps 88800 fps 329.26
NStep3DQN_fc1_64_game_Qbert Qbert avg score 232.50 total_steps 90000 fps 321.20
NStep3DQN_fc1_64_game_Qbert Qbert avg score 220.50 total_steps 91200 fps 329.16
NStep3DQN_fc1_64_game_Qbert Qbert avg score 223.00 total_steps 92400 fps 329.95
NStep3DQN_fc1_64_game_Qbert Qbert avg score 231.00 total_steps 93600 fps 328.29
NStep3DQN_fc1_64_game_Qbert Qbert avg score 232.50 total_steps 94800 fps 329.68
NStep3DQN_fc1_64_game_Qbert Qbert avg score 216.00 total_steps 96000 fps 329.05
NStep3DQN_fc1_64_game_Qbert Qbert avg score 229.00 total_steps 97200 fps 328.79
NStep3DQN_fc1_64_game_Qbert Qbert avg score 233.00 total_steps 98400 fps 328.13
NStep3DQN_fc1_64_game_Qbert Qbert avg score 237.50 total_steps 99600 fps 323.60
NStep3DQN_fc1_64_game_Qbert Qbert avg score 240.50 total_steps 100800 fps 327.92
NStep3DQN_fc1_64_game_Qbert Qbert avg score 246.50 total_steps 102000 fps 329.08
NStep3DQN_fc1_64_game_Qbert Qbert avg score 223.00 total_steps 103200 fps 327.65
NStep3DQN_fc1_64_game_Qbert Qbert avg score 227.00 total_steps 104400 fps 328.02
NStep3DQN_fc1_64_game_Qbert Qbert avg score 219.00 total_steps 105600 fps 327.97
NStep3DQN_fc1_64_game_Qbert Qbert avg score 204.50 total_steps 106800 fps 327.59
NStep3DQN_fc1_64_game_Qbert Qbert avg score 210.00 total_steps 108000 fps 327.15
NStep3DQN_fc1_64_game_Qbert Qbert avg score 214.00 total_steps 109200 fps 321.80
NStep3DQN_fc1_64_game_Qbert Qbert avg score 217.00 total_steps 110400 fps 325.91
NStep3DQN_fc1_64_game_Qbert Qbert avg score 201.50 total_steps 111600 fps 327.28
NStep3DQN_fc1_64_game_Qbert Qbert avg score 207.00 total_steps 112800 fps 326.33
NStep3DQN_fc1_64_game_Qbert Qbert avg score 210.00 total_steps 114000 fps 325.75
NStep3DQN_fc1_64_game_Qbert Qbert avg score 211.50 total_steps 115200 fps 326.48
NStep3DQN_fc1_64_game_Qbert Qbert avg score 214.50 total_steps 116400 fps 325.20
NStep3DQN_fc1_64_game_Qbert Qbert avg score 215.50 total_steps 117600 fps 325.66
NStep3DQN_fc1_64_game_Qbert Qbert avg score 229.00 total_steps 118800 fps 322.60
NStep3DQN_fc1_64_game_Qbert Qbert avg score 235.00 total_steps 120000 fps 310.78
NStep3DQN_fc1_64_game_Qbert Qbert avg score 238.50 total_steps 121200 fps 322.53
NStep3DQN_fc1_64_game_Qbert Qbert avg score 244.00 total_steps 122400 fps 323.58
NStep3DQN_fc1_64_game_Qbert Qbert avg score 247.00 total_steps 123600 fps 323.76
NStep3DQN_fc1_64_game_Qbert Qbert avg score 251.00 total_steps 124800 fps 314.36
NStep3DQN_fc1_64_game_Qbert Qbert avg score 248.50 total_steps 126000 fps 324.42
NStep3DQN_fc1_64_game_Qbert Qbert avg score 256.50 total_steps 127200 fps 320.88
NStep3DQN_fc1_64_game_Qbert Qbert avg score 264.50 total_steps 128400 fps 323.74
NStep3DQN_fc1_64_game_Qbert Qbert avg score 267.00 total_steps 129600 fps 318.14
NStep3DQN_fc1_64_game_Qbert Qbert avg score 264.50 total_steps 130800 fps 321.97
NStep3DQN_fc1_64_game_Qbert Qbert avg score 263.00 total_steps 132000 fps 323.23
NStep3DQN_fc1_64_game_Qbert Qbert avg score 259.50 total_steps 133200 fps 321.98
NStep3DQN_fc1_64_game_Qbert Qbert avg score 257.50 total_steps 134400 fps 321.15
NStep3DQN_fc1_64_game_Qbert Qbert avg score 256.50 total_steps 135600 fps 322.55
NStep3DQN_fc1_64_game_Qbert Qbert avg score 243.50 total_steps 136800 fps 321.86
NStep3DQN_fc1_64_game_Qbert Qbert avg score 239.00 total_steps 138000 fps 320.65
NStep3DQN_fc1_64_game_Qbert Qbert avg score 232.50 total_steps 139200 fps 316.15
NStep3DQN_fc1_64_game_Qbert Qbert avg score 223.50 total_steps 140400 fps 320.82
NStep3DQN_fc1_64_game_Qbert Qbert avg score 215.00 total_steps 141600 fps 320.81
NStep3DQN_fc1_64_game_Qbert Qbert avg score 213.50 total_steps 142800 fps 319.46
NStep3DQN_fc1_64_game_Qbert Qbert avg score 209.00 total_steps 144000 fps 320.18
NStep3DQN_fc1_64_game_Qbert Qbert avg score 214.50 total_steps 145200 fps 320.70
NStep3DQN_fc1_64_game_Qbert Qbert avg score 223.00 total_steps 146400 fps 318.71
NStep3DQN_fc1_64_game_Qbert Qbert avg score 224.00 total_steps 147600 fps 318.70
NStep3DQN_fc1_64_game_Qbert Qbert avg score 221.50 total_steps 148800 fps 308.82
NStep3DQN_fc1_64_game_Qbert Qbert avg score 238.00 total_steps 150000 fps 318.40
NStep3DQN_fc1_64_game_Qbert Qbert avg score 236.00 total_steps 151200 fps 318.86
NStep3DQN_fc1_64_game_Qbert Qbert avg score 236.50 total_steps 152400 fps 317.35
NStep3DQN_fc1_64_game_Qbert Qbert avg score 238.00 total_steps 153600 fps 318.28
NStep3DQN_fc1_64_game_Qbert Qbert avg score 241.50 total_steps 154800 fps 317.28
NStep3DQN_fc1_64_game_Qbert Qbert avg score 242.50 total_steps 156000 fps 317.19
